AnimalID,SireID,DamID
PVBPC19G0106506M,PVHTC18G0006013M,PVHTC18G000A301
PVBPC19G0106514M,PVHTC18G0006060M,PVHTC18G000A389
PVBPC19G0106535M,PVHTC18G0006060M,PVHTC18G000A230
PVBPC19G0106600M,PVHTC18G0006009M,PVHTC18G000B011
PVBPC19G0106606,PVSIS18G0007004M,PVHTC18G000R006
PVBPC19G010664A,PVHTC18G0006099M,PVHTC18G000B298
PVBPC19G010667A,PVHTC18G0006012M,PVHTC18G000R180
PVBPC19G0106694M,PVHTC18G0006013M,PVHTC18G000A229
PVBPC19G0106697M,PVHTC18G0006082M,PVHTC18G000R186
PVBPC19G0106716M,0,PVHTC18G000B008
PVBPC19G0106764M,PVHTC18G0006032M,PVHTC18G000R068
PVBPC19G0106803M,PVHTC18G0006143M,PVHTC18G000B289
PVBPC19G0106828M,PVHTC18G0006065M,PVHTC18G000R141
PVBPC19G0107001M,PVHTC18G0006031M,PVHTC18G000R122
PVBPC19G0107011M,0,PVHTC18G000T312
PVBPC19G0107023M,PVHTC18G0006065M,PVHTC18G000B046
PVBPC19G010712A,PVHTC18G0006035M,PVHTC18G000A284
PVBPC19G010728A,PVHTC18G0006074M,PVHTC18G000B153
PVBPC19G010736A,PVHTC18G0006074M,PVHTC18G000B153
PVBPC19G010774A,PVHTC18G0006143M,PVHTC18G000B268
PVBPC19G010D101,0,0
PVBPC19G010T808,0,0
PVBPC19G0206456M,PVHTC18G0006032M,PVHTC18G000B272
PVGDU19G20090006M,0,0
PVGDU19G20090008M,0,0
PVGSJ18G001C016,PVGSJ17F030M093M,PVGSJ17F030S693
PVHTC18G0006071M,0,PVHTC17B000033S
PVHTC19G0106011M,0,0
PVHTC19G0106064M,0,0
PVHTC19G0106103M,0,0
PVHTC19G010821A,0,0
PVHTC19G010868A,0,0
PVHTC19G010874A,0,0
PVHTC19G010877A,0,0
PVHTC19G010897A,0,0
PVHYC19B0072001M,0,0
PVHYC19B007813A,0,0
PVHYC19B007824A,0,0
PVHYC19B007828A,0,0
PVHYC19B007855A,0,0
PVZWZ19G0205060M,PVZWZ18G0106044M,0
PVZWZ19G020C960,PVZWZ18G0105063M,0
PVZZC19B007C798,0,0
PVZZC19B007C916,0,0
PVBPC19G010253B,PVHTC18G0006071M,PVGSJ18G001C016
PVBPC20G010039M,PVBPC19G0006812M,PVBPC19G000906A
PVBPC20G010073K,PVBPC19G0006786M,PVBPC19G000937A
PVBPC20G010085M,PVBPC19G0006786M,PVBPC19G000933A
PVBPC20G010271F,PVBPC19G0006756M,PVBPC19G000998A
PVBPC20G010308F,PVZWZ19G0205060M,PVZWZ19G020C960
PVBPC20G0106182M,PVHYC19B0072001M,PVBPC19G000995A
PVBPC20G0106476M1,PVBPC19G0006756M,PVBPC19G000900A
PVBPC20G0106476M2,PVBPC19G0006756M,PVBPC19G000900A
PVBPC20G0106498M,PVBPC19G0006812M,PVBPC19G000906A
PVBPC20G0106H03M1,PVZWZ19G0205060M,PVZWZ19G020C960
